Review,Rating
"""Очень славное место, все чисто, красиво! Мастер, ...",5 звезд
"""Всем здраствуйте Очень хорошое место все вежливый...",5 звезд
"""Был впервые в данном салоне, хотелось бы выразить...",5 звезд
"""Муж давно посещает данный барбершоп ,всем довольн...",5 звезд
"""Дополню отзыв который ниже. Через пару дней позво...",1 звезда
"""Спасибо большое Мастеру Саяну за отличную работу ...",5 звезд
"""Стригусь у мастера Дони больше года.Мастер велико...",5 звезд
"""Хорошее место, уже полгода сюда хожу, рад, что на...",5 звезд
"""Парикмахеры  мастера. Каждый раз выбираю нового, ...",5 звезд
"""Мастера на высшем уровне, качество работы очень р...",5 звезд
"""Показал подробно на своих же фото, какая должна б...",2 звезды
"""Мухаммед из Митино хорошо сделал кроп, буду посещ...",5 звезд
"""Лучший парикмахер  Хан, хожу к нему уже второй го...",5 звезд
"""Нормально, хожу стричься сюда. Ожидаю парикмахера...",4 звезды
"""Прихожу сюда каждый месяц, стригусь у барьера Мух...",5 звезд
"""Посетил данное место впервые. Пока все понравилос...",2 звезды
"""Все мужчины в нашей семье стригутся именно тут. О...",5 звезд
"""Не первый раз стригусь в этом месте и мне очень н...",5 звезд
"""Не в первый раз посещаю салон. Обслуживаюсь у Хам...",5 звезд
"""Персонал работает больной, на рабочем месте пьют ...",3 звезды
"""В эту заведение ХАМИД топ барбер. просто отличные...",5 звезд
"""Баха с первой встречи произвёл впечатление настоя...",4 звезды
"""Хорошее место, приятый персонал и вкусная кухня. ...",5 звезд
"""Отличная парикмахерская, уютная атмосфера, приемл...",5 звезд
"""Папу сюда записываю, ходит уже больше года  стриг...",3 звезды
"""Понравился мастер, ребенка постриг очень хорошо, ...",4 звезды
"""Саян  настоящий профессионал своего дела! Очень в...",5 звезд
"""Хорошо очень подстригли ребенка, волосы густые и ...",2 звезды
"""Быстро, профессионально, доступная цена. Много сп...",4 звезды
"""Супер! Мастера с Руками! Работают быстро, качеств...",5 звезд
"""Очень хорошее место, если пришёл раньше, можно по...",5 звезд
"""Мастер Баха красаууучик стрижот быстро акуратно к...",5 звезд
"""Первый раз посещал этот салон.Мне все понравилось...",5 звезд
"""Был у мастера СаянаПринял пораньше, все сделал че...",2 звезды
"""Все прошло отлично , вежливые сотрудники , ребята...",5 звезд
"""Мастер Баха самый сеткий мастер , всегда пунктуал...",5 звезд
"""Отличное место ! Качество стрижки на высоте ! Цен...",5 звезд
"""Мастер Хан просто отличный. Понимает, что именно ...",5 звезд
"""Спасибо барберу Бахе. Профессионал, оперативный, ...",4 звезды
